brand, product_name, shipping
GIGABYTE,GIGABYTE Eagle GeForce RTX 3080 Ti Video Card GV-N308TEAGLE-12GD,$9.99 Shipping
MSI,MSI Ventus GeForce RTX 3080 Ti Video Card RTX 3080 Ti VENTUS 3X 12G,$9.99 Shipping
EVGA,EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING Video Card| 12G-P5-3967-KR| 12GB GDDR6X| iCX3 Technology| ARGB LED| Metal Backplate,$9.99 Shipping
GIGABYTE,GIGABYTE Gaming GeForce RTX 3080 Ti Video Card GV-N308TGAMING OC-12GD,$9.99 Shipping
GIGABYTE,GIGABYTE Vision GeForce RTX 3080 Ti Video Card GV-N308TVISION OC-12GD,$9.99 Shipping
MSI,MSI Gaming GeForce RTX 3080 Ti Video Card RTX 3080 Ti Gaming X Trio 12G,$9.99 Shipping
MSI,MSI Ventus GeForce RTX 3080 Ti Video Card RTX 3080 Ti Ventus 3X 12G OC,
EVGA,EVGA GeForce RTX 3080 Ti XC3 GAMING Video Card| 12G-P5-3953-KR| 12GB GDDR6X| iCX3 Cooling| ARGB LED| Metal Backplate,
GIGABYTE,GIGABYTE Eagle GeForce RTX 3080 Ti Video Card GV-N308TEAGLE OC-12GD,
GIGABYTE,GIGABYTE AORUS GeForce RTX 3080 Ti Video Card GV-N308TAORUS M-12GD,$9.99 Shipping
GIGABYTE,GIGABYTE AORUS GeForce RTX 3080 Ti Video Card GV-N308TAORUS X-12GD,
GIGABYTE,GIGABYTE AORUS GeForce RTX 3090 XTREME WATERFORCE 24G Graphics Card| WATERFORCE All-in-One Cooling System| 24GB 384-bit GDDR6X| GV-N3090AORUSX W-24GD Video Card,
